john123,pass123,john@example.com,true,true
null,pass123,john@example.com,false,false
alice,short,alice@mail.com,false,false
bob123,password,bobmail.com,false,false
carol,password,carol@domain.com,true,true
john123,pass123,john@example.com,true,true
null,pass123,john@example.com,false,false
alice,short,alice@mail.com,false,false
bob123,password,bobmail.com,false,false
carol,password,carol@domain.com,true,true
john123,pass123,john@example.com,true,true
null,pass123,john@example.com,false,false
alice,short,alice@mail.com,false,false
bob123,password,bobmail.com,false,false
carol,password,carol@domain.com,true,true
user1,pass1234,user1@example.com,true,true
user2,123,user2@example.com,false,false
user1,pass4321,user1_dup@example.com,false,true
user3,pass5678,user3@example,false,false
user4,passabcd,user4@example.com,true,true
user5,null,user5@example.com,false,false
null,user6@example.com,pass1234,false,false
user7,pass1234,user7@domain.com,true,true
john123,pass123,john@example.com,true,true
null,pass123,john@example.com,false,false
alice,short,alice@mail.com,false,false
bob123,password,bobmail.com,false,false
carol,password,carol@domain.com,true,true
user2,123,user2@example.com,false,false
user1,pass4321,user1_dup@example.com,false,true
user3,pass5678,user3@example,false,false
user4,passabcd,user4@example.com,true,true
user5,null,user5@example.com,false,false
null,user6@example.com,pass1234,false,false
user7,pass1234,user7@domain.com,true,true
john123,pass123,john@example.com,true,true
null,pass123,john@example.com,false,false
alice,short,alice@mail.com,false,false
bob123,password,bobmail.com,false,false
carol,password,carol@domain.com,true,true
user2,123,user2@example.com,false,false
user3,pass5678,user3@example,false,false
user4,passabcd,user4@example.com,true,true
user5,null,user5@example.com,false,false
null,user6@example.com,pass1234,false,false
user7,pass1234,user7@domain.com,true,true
john123,pass123,john@example.com,true,true
null,pass123,john@example.com,false,false
alice,short,alice@mail.com,false,false
bob123,password,bobmail.com,false,false
carol,password,carol@domain.com,true,true
user2,123,user2@example.com,false,false
user3,pass5678,user3@example,false,false
user4,passabcd,user4@example.com,true,true
user5,null,user5@example.com,false,false
null,user6@example.com,pass1234,false,false
user7,pass1234,user7@domain.com,true,true
john123,pass123,john@example.com,true,true
